,0
0,'82
1,'86
2,'89
3,'90
4,'ll
5,'re
6,'ve
7,"1,000"
8,"1,053"
9,"1,057"
10,"1,100"
11,"1,186"
12,"1,200"
13,"1,250"
14,1-year
15,1.1
16,1.2
17,1.3
18,1.5
19,1.6
20,1.85
21,1/2
22,1/2-percent
23,10-percent
24,10-year
25,100
26,"100,000"
27,100th
28,107
29,10th
30,11.2
31,12-year-old
32,12.4
33,"120,000"
34,12044
35,"125,000"
36,12th
37,"13,000"
38,13-year-old
39,"130,000"
40,132
41,135
42,144
43,"15,000"
44,150
45,1500
46,157
47,15th
48,"16,000"
49,166
50,"168,000"
51,17.4
52,1700
53,171
54,1787
55,1790
56,17th
57,1823
58,18th
59,1930
60,1940
61,1941
62,1943
63,1945
64,"195,000"
65,1950
66,1959
67,196
68,1960
69,1963
70,1968
71,196th
72,1970
73,1971
74,1972
75,1974
76,1976
77,1977
78,1978
79,1979
80,1980
81,1980-crop
82,1981
83,1982
84,1983
85,1984
86,1985
87,1986
88,1987
89,1988
90,1989
91,1990
92,1991
93,1993
94,1st
95,"2,000"
96,"2,500"
97,2-year
98,2.2
99,2.3
100,2.30
101,2.4
102,20-year-old
103,200
104,"200,000"
105,200-mile
106,200-year-old
107,2000
108,200th
109,20th
110,21.5
111,"216,000"
112,21st
113,227
114,22d
115,"23,000"
116,235
117,24.7
118,"25,000"
119,250
120,26.5
121,"260,000"
122,2nd
123,"3,000"
124,3-year
125,3.2
126,3.3
127,3.35
128,3.4
129,3.9
130,3/4
131,300
132,3000
133,30th
134,3434
135,38th
136,"4,000"
137,"4,300"
138,4.3
139,4.5
140,4.6
141,400
142,"400,000"
143,410
144,"425,000"
145,"44,000"
146,5-percent
147,5.2
148,500
149,"500,000"
150,504
151,506
152,550-ship
153,"6,000"
154,6-month
155,6-year
156,6.3
157,6.5
158,6.9
159,600
160,"600,000"
161,"600,000-man"
162,600-percent
163,650
164,675
165,"7,400"
166,7.3
167,7.50
168,"75,000"
169,750
170,75th
171,77-percent
172,8.2
173,8.9
174,8:04
175,8th
176,905
177,96th
178,97th
179,9:02
180,9:03
181,9:05
182,9:07
183,9th
184,abandon
185,abandoned
186,abandonment
187,abate
188,abduction
189,abhorrent
190,abiding
191,abilities
192,ability
193,able
194,aboard
195,abortion
196,abraham
197,abroad
198,absence
199,absolutely
200,absurd
201,abundance
202,abundant
203,abuse
204,abused
205,abuses
206,academia
207,academy
208,accede
